MS001,MS002,MS004,MS007,MS0016,MS017,MS021,MS023,MS024,MS026
106,106,102,124,30,30,47,31,14,18
117,117,209,27,42,42,47,44,14,11
87,87,73,28,163,163,172,177,7,10
65,65,295,30,33,33,13,18,7,15
47,47,,55,14,14,47,50,7,9
55,55,,53,8,8,88,110,7,28
150,150,,201,14,14,26,,7,10
28,28,,28,14,14,,,7,24
58,58,,38,7,7,,,31,64
56,56,,16,7,7,,,62,37
,,,14,7,7,,,39,47
,,,7,7,7,,,44,42
,,,7,7,7,,,43,35
,,,7,7,7,,,36,52
,,,14,21,21,,,41,21
,,,7,29,29,,,13,22
,,,14,70,70,,,13,46
,,,14,30,30,,,23,
,,,7,56,56,,,18,
,,,28,33,33,,,30,
,,,75,34,34,,,,
,,,29,57,57,,,,
,,,44,7,7,,,,
,,,45,7,7,,,,
,,,30,33,33,,,,
,,,42,30,30,,,,
,,,14,,,,,,
,,,14,,,,,,
,,,39,,,,,,
,,,30,,,,,,
